Scaffold,Inhibitor,Noninhibitor,OddsRatio,p_value,
c1ccccc1,53,842,0.111711916,7.63E-95,-94.11747048
c1ccc(CNc2ncncc2-c2ccccc2)cc1,36,0,inf,7.15E-18,-17.14557841
c1ccc(CNc2ccnc(-c3ccccc3)n2)cc1,24,0,inf,3.81E-12,-11.41864897
c1ccc(CNc2ncnc3ccc(-c4ccccc4)cc23)cc1,21,1,41.91121759,1.54E-09,-8.812931029
O=C(c1ccccc1)N1CC2Cc3[nH]ccc3C2C1Cc1ccccc1,18,0,inf,2.76E-09,-8.559595408
O=C(c1cc2c([nH]1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,16,0,inf,2.47E-08,-7.607229422
c1ncc2ncn(C3CCCO3)c2n1,0,42,0,5.20E-08,-7.283969744
O=C(c1cc2c(n1Cc1ccccc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,14,0,inf,2.21E-07,-6.655188963
c1ccc(Nc2ncncc2-c2ccccc2)cc1,14,0,inf,2.21E-07,-6.655188963
c1ccncc1,4,59,0.133558371,5.63E-07,-6.249238542
c1ccc(CNc2nc(-c3ccccc3)nc3ccccc23)cc1,15,1,29.88604389,8.12E-07,-6.090258666
c1ccc2[nH]ccc2c1,1,40,0.049341368,2.32E-06,-5.634410397
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccccc3)C2C1Cc1ccccc1,15,2,14.94091165,4.75E-06,-5.323712609
c1ccoc1,0,29,0,1.08E-05,-4.968027618
c1ccc(CNc2cc(-c3ccccc3)ncn2)cc1,19,6,6.311924883,1.67E-05,-4.778482692
c1ccc(-c2cncnc2NCCc2c[nH]c3ccccc23)cc1,10,0,inf,1.77E-05,-4.752083646
O=C(NC(c1ccccc1)C1CC1)OCc1ccccc1,12,1,23.88867023,1.78E-05,-4.749812229
c1ccc(-c2ccc3ncncc3c2)cc1,12,1,23.88867023,1.78E-05,-4.749812229
c1ccc2ncccc2c1,1,33,0.059867169,2.74E-05,-4.562139383
c1ncc2nc[nH]c2n1,1,32,0.061746777,4.73E-05,-4.325138536
c1ccc(-c2cncnc2)cc1,9,0,inf,5.29E-05,-4.276510389
c1ccc(-c2cncnc2NCc2cccnc2)cc1,9,0,inf,5.29E-05,-4.276510389
c1ccc(-c2cncnc2NCc2ccco2)cc1,9,0,inf,5.29E-05,-4.276510389
c1ccc(-c2cncnc2NCc2cccs2)cc1,9,0,inf,5.29E-05,-4.276510389
c1ccc(-c2nc(NCc3cccnc3)c3ccccc3n2)cc1,9,0,inf,5.29E-05,-4.276510389
C1CCNCC1,0,25,0,5.32E-05,-4.274004865
c1c[nH]cn1,0,22,0,0.000157643,-3.802325858
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccc1,8,0,inf,0.000158118,-3.801018301
O=C(c1ccccc1)N1CCCC2(CCN(Cc3ccccc3)C2)C1,8,0,inf,0.000158118,-3.801018301
c1ccc(-c2ccc3ncnc(NCc4cccnc4)c3c2)cc1,8,0,inf,0.000158118,-3.801018301
O=P(NC(c1ccccc1)C1CC1)(c1ccccc1)c1ccccc1,11,2,10.94435076,0.000222324,-3.653013562
N=C1CCCC2c3c[nH]cc3CCC12,0,21,0,0.000264509,-3.577559457
c1ccc2ccccc2c1,5,43,0.229654425,0.00033168,-3.479281093
C1CCCCC1,1,26,0.076060711,0.000334357,-3.475789602
C1=CC(c2ccccc2)CC=N1,7,0,inf,0.00047249,-3.32560735
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccc1,7,0,inf,0.00047249,-3.32560735
O=C1OC(c2ccoc2)C2CCC3C4CCCCC4CCC3C23OC13,7,0,inf,0.00047249,-3.32560735
c1ccc(-c2ccc3ncnc(NC4CC4)c3c2)cc1,7,0,inf,0.00047249,-3.32560735
c1ccc(-c2cncnc2NCCc2c[nH]cn2)cc1,7,0,inf,0.00047249,-3.32560735
c1ccc(-c2cncnc2NCc2cnccn2)cc1,7,0,inf,0.00047249,-3.32560735
c1ccc(-c2nccc(-n3ccnc3)n2)cc1,7,0,inf,0.00047249,-3.32560735
c1ccc(-c2nccc(NCCc3c[nH]c4ccccc34)n2)cc1,7,0,inf,0.00047249,-3.32560735
N=C1CCCC2c3cn(Cc4ccc5c(c4)OCO5)cc3CCC12,6,0,inf,0.001411635,-2.850277506
N=C1OC(=O)N2C=CC3=CCc4c[nH]cc4C3C12Cc1ccccc1,6,0,inf,0.001411635,-2.850277506
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccc1,6,0,inf,0.001411635,-2.850277506
O=C(CN1CCN(S(=O)(=O)c2ccccc2)CC1)Nc1ccccc1,6,0,inf,0.001411635,-2.850277506
O=C(NCc1ccccc1)C1CC1C(NP(=O)(c1ccccc1)c1ccccc1)c1ccccc1,6,0,inf,0.001411635,-2.850277506
O=C(c1cc2c(n1CCc1c[nH]c3ccccc13)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,6,0,inf,0.001411635,-2.850277506
c1ccc(-c2cc(NCc3cccnc3)ncn2)cc1,6,0,inf,0.001411635,-2.850277506
c1ccc(-c2ccc3ncnc(NCc4cccs4)c3c2)cc1,6,0,inf,0.001411635,-2.850277506
c1ccc(-c2cncnc2-n2ccnc2)cc1,6,0,inf,0.001411635,-2.850277506
c1ccc(-c2cncnc2NCCN2CCOCC2)cc1,6,0,inf,0.001411635,-2.850277506
c1ccc(-c2nc(-n3ccnc3)c3ccccc3n2)cc1,6,0,inf,0.001411635,-2.850277506
c1ccc(-c2nc(NC3CC3)c3ccccc3n2)cc1,6,0,inf,0.001411635,-2.850277506
c1ccc(-c2nc(NCCc3c[nH]c4ccccc34)c3ccccc3n2)cc1,6,0,inf,0.001411635,-2.850277506
c1ccc(-c2nc(NCc3cccs3)c3ccccc3n2)cc1,6,0,inf,0.001411635,-2.850277506
c1ccc(C2C3CN(Cc4cccnc4)C(c4ccccc4)C34CC2(c2ccccc2)C4)cc1,6,0,inf,0.001411635,-2.850277506
c1ccc2[nH]cnc2c1,1,22,0.089940889,0.001484306,-2.828476413
C1=C2CCCCC2C2CCC3CCCC3C2C1,0,16,0,0.002280403,-2.641988338
C1CCOCC1,0,16,0,0.002280403,-2.641988338
c1ccc(CN2CCC3(CCNCC3)CC2)cc1,0,16,0,0.002280403,-2.641988338
c1ncncn1,0,16,0,0.002280403,-2.641988338
C1CCC2C(C1)CCC1C3CCCC3CCC21,1,21,0.094237134,0.00243656,-2.613222976
O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,7,1,13.91549691,0.002673093,-2.572985888
C1CCNC1,0,14,0,0.004008797,-2.396985989
O=C(Nc1ccccc1)N1CCC2(CCNCC2)CC1,0,14,0,0.004008797,-2.396985989
c1cscn1,0,14,0,0.004008797,-2.396985989
C1CO1,0,15,0,0.004068402,-2.390576115
O=C(Nc1ccccc1)N1CC2(CCNCC2)C1,0,15,0,0.004068402,-2.390576115
C1=CC(Oc2ccccc2)COC1,5,0,inf,0.004216686,-2.37502874
O=C(C=Cc1ccc2c(c1)OCO2)c1ccccc1,5,0,inf,0.004216686,-2.37502874
O=C(CCCCCN1C=C(C(=O)OCc2ccccc2)C(c2ccccc2)NC1=O)NCc1ccccc1,5,0,inf,0.004216686,-2.37502874
O=C(NCc1ccccc1)OCc1ccccc1,5,0,inf,0.004216686,-2.37502874
O=C(Nc1ccccc1)N1CCC2(CCCN(C(=O)c3ccccc3)C2)C1,5,0,inf,0.004216686,-2.37502874
O=C(c1cc2c(n1CCc1ccccc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,5,0,inf,0.004216686,-2.37502874
O=C1OC(C2NCCc3cc4c(cc32)OCO4)c2ccccc21,5,0,inf,0.004216686,-2.37502874
O=C1OCC2Cc3cc4c(cc3C(c3ccccc3)C12)OCO4,5,0,inf,0.004216686,-2.37502874
c1ccc(-c2cc(-n3ccnc3)ncn2)cc1,5,0,inf,0.004216686,-2.37502874
c1ccc(-c2ccc3ncnc(NCCc4c[nH]c5ccccc45)c3c2)cc1,5,0,inf,0.004216686,-2.37502874
c1ccc(-c2nc(NCCN3CCOCC3)c3ccccc3n2)cc1,5,0,inf,0.004216686,-2.37502874
c1ccc(-c2nc(Nc3ccncc3)c3ccccc3n2)cc1,5,0,inf,0.004216686,-2.37502874
c1ccc(Nc2ccnc(-c3ccccc3)n2)cc1,5,0,inf,0.004216686,-2.37502874
c1ccc2c(c1)CCCC2,0,13,0,0.006661294,-2.176441368
C(#CC1C=CC(Oc2ccccc2)CO1)c1ccccc1,6,1,11.92422116,0.007046507,-2.152026141
O=S(=O)(Nc1ccccc1)c1ccccc1,6,1,11.92422116,0.007046507,-2.152026141
c1ccc(-c2cc(NCCc3c[nH]c4ccccc34)ncn2)cc1,6,1,11.92422116,0.007046507,-2.152026141
c1ccc(-c2ccc3ncnc(N4CCNCC4)c3c2)cc1,6,1,11.92422116,0.007046507,-2.152026141
c1ccc(-c2nccc(NCc3cccs3)n2)cc1,6,1,11.92422116,0.007046507,-2.152026141
c1ccc(-c2ccc3ncnc(NCc4cnccn4)c3c2)cc1,7,2,6.956765862,0.008529514,-2.069075713
C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1,0,12,0,0.01144064,-1.941549689
c1ccc(CN2CC3(CCNCC3)C2)cc1,0,12,0,0.01144064,-1.941549689
N=C1OC(=O)N2C=CC3=CCc4c[nH]cc4C3C12,4,0,inf,0.012593283,-1.89986102
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cccnc1,4,0,inf,0.012593283,-1.89986102
O=C(CSc1nc2ccccc2cc1Cc1ccccc1)Nc1ccccc1,4,0,inf,0.012593283,-1.89986102
O=C(NC(c1ccccc1)C1CC1)c1cccs1,4,0,inf,0.012593283,-1.89986102
O=C(NC1OC2C3CCCN3C(=O)CN2C1=O)C1C=C2c3cccc4[nH]cc(c34)CC2NC1,4,0,inf,0.012593283,-1.89986102
O=C(Nc1ccccc1)N1CCCC2(CCN(C(=O)c3ccccc3)CC2)C1,4,0,inf,0.012593283,-1.89986102
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCc3ccccc3)C2C1Cc1ccccc1,4,0,inf,0.012593283,-1.89986102
