,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
169,31,31,45,14,53,31,20,24,31,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,45,31,17,31,14,53,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,45,31,17,31,14,24,12,36,12,31,18,46,53,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,31,31,14,53,31,17,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376,45,31,17,31,24,1,31,31,12,31,18,47,14,53,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1531,31,31,12,31,18,31,17,31,14,53,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1548,31,31,24,31,31,31,31,17,31,14,53,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3632,31,31,12,31,18,31,53,31,24,47,45,31,12,31,18,31,24,31,31,31,17,31,20,47,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5546,31,31,31,31,12,31,18,45,31,17,31,24,25,31,12,31,18,47,31,31,14,53,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6112,31,31,47,31,12,31,18,31,45,14,24,31,45,53,31,20,12,31,12,31,18,47,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6664,31,45,6,12,1,14,58,12,31,18,46,45,31,31,53,31,31,14,53,31,24,1,31,45,24,31,31,31,17,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10331,31,31,45,14,24,31,45,53,31,20,12,31,31,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11253,47,14,29,29,29,24,31,47,29,24,31,47,31,6,12,45,17,9,31,31,14,31,14,31,14,50,12,29,50,49,31,31,27,51,50,24,31,12,31,18,45,51,50,13,31,31,31,31,31,31,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11259,47,14,29,29,29,24,31,47,29,24,31,47,31,6,12,45,17,9,31,31,14,31,14,31,14,50,12,27,50,49,31,31,27,51,50,24,31,12,31,18,45,51,50,13,31,31,31,31,31,31,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11216,31,47,31,14,31,14,31,14,31,31,12,31,18,47,31,14,31,14,31,14,50,12,31,20,47,45,14,51,50,50,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7369,31,47,31,14,31,14,25,51,1,31,12,31,18,45,31,31,31,25,50,1,31,31,45,24,14,31,31,14,31,14,24,50,31,4,31,14,50,25,31,31,50,3,31,31,51,50,51,31,14,51,50,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7370,31,47,31,14,31,14,25,51,50,31,12,31,18,45,31,31,31,25,50,50,31,31,45,24,2,31,31,14,31,14,31,14,50,12,31,31,50,17,31,31,51,50,31,31,14,51,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7371,31,47,31,14,31,14,25,51,24,31,12,31,18,45,31,31,31,25,50,24,31,31,45,24,45,31,31,14,31,14,31,14,50,12,47,31,31,31,50,3,31,31,51,50,51,31,14,51,50,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7982,31,47,31,14,31,14,31,14,50,12,31,45,31,31,31,24,24,31,31,50,12,31,31,45,25,50,49,31,12,31,18,31,14,31,24,13,31,24,31,33,24,31,33,33,14,31,24,13,31,24,31,33,24,31,33,33,14,50,14,31,31,51,50,25,0,0
8426,45,3,31,14,31,14,25,24,1,31,45,31,31,31,24,24,31,31,50,12,31,31,45,25,50,49,31,12,31,18,31,14,31,24,13,31,24,31,33,24,31,33,33,14,31,24,13,31,24,31,33,24,31,33,33,14,50,14,31,31,51,50,25,31,14,51
8907,47,14,25,50,17,31,14,31,24,13,31,24,31,33,24,31,33,33,14,31,24,13,31,24,31,33,24,31,33,33,14,50,14,45,31,31,31,25,50,50,31,31,45,24,2,31,31,14,31,14,31,14,50,12,31,31,50,17,31,31,51,50,31,0,0,0
10767,47,14,24,45,31,14,31,14,31,24,31,33,14,50,1,45,31,31,31,25,50,50,31,31,45,24,2,31,31,14,31,14,31,14,50,12,31,31,50,17,31,31,51,50,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11221,31,47,31,14,31,14,31,14,50,12,31,45,31,31,31,24,24,31,31,50,12,31,31,45,24,53,31,12,31,18,31,14,31,14,31,24,31,33,14,50,1,31,31,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2977,47,31,29,47,27,25,50,45,45,31,17,31,14,24,45,45,31,31,31,14,31,14,31,14,50,12,45,14,45,14,50,3,51,50,31,29,24,31,47,29,51,50,25,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6053,31,31,47,31,12,31,18,31,31,24,45,31,14,31,14,24,31,31,31,14,50,1,14,53,31,20,45,45,31,12,31,18,31,31,31,14,31,31,50,12,31,12,31,18,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4872,31,31,14,31,14,31,24,53,6,17,59,31,14,45,17,31,24,31,47,14,50,1,32,14,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4297,31,31,14,25,50,2,45,31,12,31,18,31,24,2,53,31,14,31,14,31,14,50,12,31,14,31,14,31,14,50,12,31,14,31,14,51,50,1,36,12,31,18,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5085,31,31,14,31,14,45,14,50,12,45,31,24,13,31,24,31,33,24,31,33,33,45,14,24,13,31,14,31,14,31,14,50,12,45,31,50,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7332,31,47,31,14,31,14,25,50,47,31,12,31,18,6,14,6,14,31,14,31,14,50,12,31,31,24,31,31,24,31,31,45,50,45,31,31,14,51,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7753,31,47,31,14,31,14,42,31,14,25,50,51,31,31,45,31,17,31,17,31,14,50,12,31,14,31,14,45,14,50,12,31,51,50,51,14,51,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7456,31,47,31,14,31,14,25,24,31,31,14,31,14,31,12,51,17,50,12,31,31,31,45,50,1,31,29,24,31,47,31,45,31,31,31,31,17,31,24,45,31,14,31,14,24,31,23,31,14,50,1,14,31,14,50,17,50,49,31,14,51,51,24,0,0,0
5337,31,31,47,45,14,24,17,31,14,24,31,32,31,14,31,14,50,1,32,31,20,17,31,12,31,18,45,31,31,31,14,31,14,31,14,50,12,31,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2183,31,31,31,14,31,31,29,31,12,31,18,45,24,31,31,31,12,31,18,29,50,25,29,50,45,28,24,31,31,6,12,13,17,6,31,12,31,18,47,31,47,31,12,31,18,45,50,17,31,51,50,47,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2204,31,31,31,14,31,31,29,31,12,31,18,45,31,12,31,18,29,50,1,29,50,47,28,24,31,31,6,12,13,17,6,31,12,31,18,47,31,47,31,12,31,18,45,50,17,31,51,50,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2205,31,31,31,14,31,31,29,31,12,31,18,45,31,12,31,18,29,50,1,29,50,47,28,24,31,31,6,12,12,17,6,31,47,31,47,31,12,31,18,45,50,45,31,51,50,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9434,47,14,24,45,45,31,31,45,31,31,47,31,31,50,12,31,14,31,14,24,31,32,31,14,50,1,36,12,31,18,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9436,47,14,24,45,45,31,31,45,31,31,47,31,31,50,12,31,14,31,14,31,14,50,12,36,12,31,18,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10634,31,47,31,14,31,14,31,24,53,31,12,31,18,45,31,31,45,31,31,47,31,31,50,12,14,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9717,47,14,24,2,47,31,14,31,14,31,14,50,12,45,31,31,31,24,24,31,31,50,12,31,31,45,24,13,31,14,31,17,31,14,50,12,31,31,50,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5578,31,31,31,31,17,31,14,31,14,31,14,50,12,31,25,51,24,31,12,31,18,47,31,31,12,31,18,45,31,14,31,14,31,24,53,53,12,31,18,12,31,18,45,31,31,47,31,31,50,12,14,50,3,14,51,50,53,31,31,0,0,0,0,0,0,0
8286,31,53,31,17,45,14,31,12,51,17,50,12,47,31,24,31,31,45,24,17,31,12,31,18,31,14,31,14,31,14,50,12,31,14,31,14,31,14,50,12,51,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2952,47,14,6,12,2,14,6,14,31,14,31,14,50,12,47,31,14,31,14,31,14,50,12,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6733,31,45,31,31,29,25,50,12,31,45,31,14,31,14,31,14,50,12,53,31,14,31,14,31,14,50,12,50,14,31,51,50,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
