Index,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings
0,342.29699999999997,-5.395599999999993,8.0,11.0,189.52999999999997,5.0,0.0,2.0,11.0,2.0,23.0,2.0
1,92.09400000000001,-1.6681000000000001,3.0,3.0,60.69,2.0,0.0,0.0,3.0,0.0,6.0,0.0
2,197.381,2.5084999999999997,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0
3,266.34,4.604600000000004,2.0,2.0,40.46,3.0,2.0,0.0,2.0,2.0,20.0,0.0
4,209.25300000000001,-0.13029999999999975,2.0,5.0,95.11,1.0,1.0,1.0,6.0,2.0,15.0,1.0
5,406.90700000000004,6.609000000000001,2.0,2.0,40.46,2.0,2.0,0.0,8.0,2.0,21.0,0.0
6,305.16400000000004,0.2882000000000006,2.0,4.0,120.32,2.0,1.0,0.0,10.0,1.0,16.0,0.0
7,136.114,0.058499999999999885,2.0,4.0,74.69,0.0,2.0,0.0,5.0,2.0,10.0,0.0
8,380.66200000000003,0.8210000000000004,3.0,5.0,118.35999999999999,2.0,1.0,0.0,12.0,2.0,20.0,1.0
9,297.74500000000006,-0.35129999999999967,3.0,5.0,118.35999999999999,1.0,1.0,0.0,10.0,2.0,17.0,1.0
10,444.4880000000002,-0.13919999999999944,8.0,10.0,163.17999999999998,12.0,2.0,0.0,10.0,3.0,32.0,1.0
11,305.502,3.1984000000000004,1.0,2.0,33.120000000000005,0.0,2.0,0.0,4.0,2.0,13.0,0.0
12,234.20199999999994,2.7771,1.0,4.0,48.14,1.0,2.0,0.0,7.0,2.0,15.0,0.0
13,145.16099999999997,1.9403999999999995,1.0,2.0,33.120000000000005,0.0,2.0,0.0,2.0,2.0,11.0,0.0
14,344.845,5.376700000000004,0.0,2.0,17.82,4.0,4.0,0.0,3.0,4.0,25.0,0.0
15,273.357,2.01,1.0,2.0,60.160000000000004,5.0,2.0,0.0,4.0,2.0,19.0,0.0
16,253.26900000000003,0.8334000000000001,3.0,7.0,129.62,1.0,3.0,0.0,7.0,3.0,19.0,0.0
17,222.243,2.849400000000001,0.0,2.0,34.14,1.0,2.0,0.0,2.0,3.0,17.0,1.0
18,178.191,0.42399999999999954,2.0,2.0,72.19,2.0,1.0,0.0,4.0,1.0,13.0,0.0
19,136.19799999999998,0.6923999999999992,2.0,2.0,38.05,3.0,1.0,0.0,2.0,1.0,10.0,0.0
20,212.248,3.0436000000000014,0.0,2.0,26.3,3.0,2.0,0.0,2.0,2.0,16.0,0.0
21,200.23700000000002,2.9712000000000014,1.0,2.0,29.46,3.0,2.0,0.0,2.0,2.0,15.0,0.0
22,229.23500000000004,2.1936,2.0,4.0,72.55000000000001,2.0,2.0,0.0,4.0,2.0,17.0,0.0
23,261.08899999999994,1.884,1.0,2.0,41.57,5.0,0.0,1.0,7.0,1.0,14.0,1.0
24,72.063,-0.06669999999999998,0.0,2.0,26.3,0.0,0.0,1.0,2.0,1.0,5.0,1.0
25,777.0880000000001,-1.0143000000000004,8.0,8.0,188.45,10.0,1.0,0.0,14.0,1.0,31.0,0.0
26,780.9490000000002,2.218100000000003,6.0,14.0,203.05999999999997,7.0,0.0,7.0,14.0,8.0,55.0,8.0
27,764.9500000000003,3.2473000000000014,5.0,13.0,182.82999999999998,7.0,0.0,7.0,13.0,8.0,54.0,8.0
28,352.7700000000001,2.8103000000000007,0.0,6.0,71.06,3.0,1.0,0.0,7.0,3.0,24.0,2.0
29,358.43400000000014,1.7658,2.0,5.0,91.67,2.0,0.0,3.0,5.0,4.0,26.0,4.0
30,296.4100000000001,3.6126000000000023,2.0,2.0,40.46,0.0,1.0,2.0,2.0,4.0,22.0,3.0
31,288.431,3.879200000000003,1.0,2.0,37.3,0.0,0.0,3.0,2.0,4.0,21.0,4.0
32,336.44700000000006,3.332200000000002,2.0,3.0,57.53,0.0,0.0,3.0,4.0,4.0,24.0,4.0
33,302.458,4.269300000000005,1.0,2.0,37.3,0.0,0.0,3.0,2.0,4.0,22.0,4.0
34,258.4939999999999,3.5196000000000023,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,18.0,0.0
35,290.404,0.2654000000000025,0.0,4.0,52.60000000000001,9.0,0.0,0.0,6.0,0.0,20.0,0.0
36,147.19799999999998,-0.2121000000000003,1.0,2.0,52.32,3.0,0.0,0.0,4.0,0.0,10.0,0.0
37,278.4190000000001,4.358700000000004,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,21.0,1.0
38,181.21499999999997,0.5714999999999999,0.0,2.0,33.42,1.0,1.0,0.0,4.0,1.0,13.0,0.0
39,516.8570000000003,9.908299999999995,2.0,4.0,40.46,4.0,2.0,0.0,4.0,2.0,35.0,0.0
40,310.393,4.448400000000004,0.0,3.0,43.370000000000005,5.0,2.0,0.0,3.0,2.0,23.0,0.0
41,226.279,2.637100000000001,0.0,3.0,42.85,3.0,2.0,0.0,3.0,2.0,17.0,0.0
42,205.25399999999996,-1.1355999999999997,4.0,4.0,89.79,6.0,0.0,0.0,5.0,0.0,14.0,0.0
43,178.27499999999995,3.6390000000000025,1.0,1.0,20.23,2.0,1.0,0.0,1.0,1.0,13.0,0.0
44,221.304,1.0487999999999995,3.0,3.0,53.16,5.0,1.0,0.0,4.0,1.0,16.0,0.0
45,531.4399999999999,4.205800000000003,0.0,7.0,69.06,7.0,3.0,2.0,10.0,5.0,36.0,2.0
46,222.251,-0.8561000000000003,2.0,6.0,115.03999999999999,2.0,1.0,0.0,9.0,1.0,13.0,0.0
47,75.067,-0.4882999999999999,2.0,2.0,49.33,0.0,0.0,0.0,3.0,0.0,5.0,0.0
48,307.28700000000003,2.2289000000000003,1.0,7.0,111.43,4.0,2.0,0.0,9.0,2.0,21.0,0.0
49,180.15899999999996,1.3101,1.0,3.0,63.60000000000001,2.0,1.0,0.0,4.0,1.0,13.0,0.0
50,321.33700000000016,0.5409999999999998,1.0,9.0,122.22,7.0,2.0,0.0,9.0,2.0,23.0,0.0
51,402.48700000000025,2.560600000000001,1.0,6.0,97.74000000000001,3.0,0.0,3.0,6.0,4.0,29.0,4.0
52,268.356,4.828600000000005,2.0,2.0,40.46,4.0,2.0,0.0,2.0,2.0,20.0,0.0
53,143.142,0.37359999999999993,0.0,3.0,46.61,0.0,0.0,1.0,4.0,1.0,10.0,1.0
54,371.3930000000001,2.5822000000000003,1.0,8.0,103.55,4.0,2.0,0.0,8.0,3.0,27.0,1.0
55,472.7540000000004,9.059960000000002,0.0,3.0,35.53,13.0,1.0,0.0,3.0,2.0,34.0,1.0
56,169.18,0.08021999999999985,3.0,4.0,73.58000000000001,2.0,1.0,0.0,4.0,1.0,12.0,0.0
57,369.3680000000001,3.515220000000001,1.0,4.0,67.87,5.0,3.0,0.0,9.0,3.0,25.0,0.0
58,270.21,3.2541200000000012,1.0,3.0,55.13,2.0,2.0,0.0,7.0,2.0,19.0,0.0
59,82.106,0.7181199999999999,1.0,1.0,28.68,0.0,1.0,0.0,2.0,1.0,6.0,0.0
60,221.256,1.7906399999999998,1.0,3.0,47.56,3.0,1.0,1.0,4.0,2.0,16.0,1.0
61,172.18299999999996,2.0119000000000002,0.0,2.0,34.14,0.0,1.0,0.0,2.0,2.0,13.0,1.0
63,266.30400000000003,2.6512200000000004,1.0,4.0,58.120000000000005,1.0,2.0,1.0,5.0,4.0,20.0,2.0
64,351.4090000000001,1.95092,2.0,6.0,99.59999999999998,2.0,2.0,0.0,9.0,3.0,23.0,1.0
65,171.15599999999998,0.09201999999999994,1.0,5.0,81.19,3.0,1.0,0.0,6.0,1.0,12.0,0.0
66,404.54700000000025,4.195500000000004,1.0,5.0,72.83,6.0,0.0,1.0,5.0,3.0,29.0,3.0
67,166.24399999999997,1.9790000000000003,1.0,1.0,20.23,2.0,1.0,0.0,2.0,1.0,12.0,0.0
68,340.4430000000001,3.953800000000003,0.0,3.0,35.53,6.0,2.0,0.0,4.0,3.0,25.0,1.0
69,510.8280000000005,5.452500000000005,0.0,3.0,27.69,21.0,1.0,0.0,6.0,1.0,36.0,0.0
70,537.5760000000002,4.639200000000005,2.0,2.0,58.2,14.0,2.0,0.0,8.0,2.0,36.0,0.0
71,166.24900000000002,1.2782,1.0,2.0,38.91,2.0,1.0,0.0,3.0,1.0,11.0,0.0
72,218.25299999999996,0.9834000000000005,2.0,4.0,104.63999999999999,6.0,0.0,0.0,6.0,0.0,15.0,0.0
73,430.5410000000002,2.7168000000000014,2.0,6.0,93.06,4.0,0.0,4.0,6.0,5.0,31.0,5.0
74,361.485,5.771680000000005,0.0,3.0,50.09,9.0,2.0,0.0,3.0,2.0,27.0,0.0
75,524.8740000000004,11.542499999999986,0.0,2.0,26.3,20.0,0.0,0.0,2.0,1.0,38.0,1.0
76,338.44400000000013,3.7177000000000024,0.0,5.0,46.150000000000006,13.0,1.0,0.0,5.0,2.0,24.0,1.0
77,46.069,-0.0014000000000000123,1.0,1.0,20.23,0.0,0.0,0.0,1.0,0.0,3.0,0.0
78,244.294,2.669100000000001,0.0,4.0,44.12,4.0,2.0,0.0,4.0,2.0,18.0,0.0
79,330.3640000000001,2.1218000000000004,0.0,8.0,71.06,9.0,0.0,0.0,9.0,0.0,19.0,0.0
80,247.27599999999998,0.5344200000000001,0.0,6.0,95.1,5.0,1.0,0.0,8.0,1.0,16.0,0.0
81,277.4079999999999,3.0356000000000014,1.0,3.0,32.7,5.0,1.0,1.0,3.0,2.0,20.0,1.0
82,454.44700000000023,0.2684000000000012,5.0,10.0,210.53999999999996,9.0,3.0,0.0,13.0,3.0,33.0,0.0
83,389.4560000000002,1.3507000000000002,2.0,8.0,111.83,8.0,2.0,1.0,9.0,3.0,28.0,1.0
84,331.35300000000007,1.5809999999999997,2.0,5.0,99.6,2.0,2.0,0.0,8.0,3.0,23.0,1.0
85,152.14899999999997,1.1787999999999998,1.0,3.0,46.53,1.0,1.0,0.0,3.0,1.0,11.0,0.0
86,295.298,2.972200000000001,2.0,4.0,84.07999999999998,3.0,3.0,0.0,6.0,3.0,22.0,0.0
87,290.32300000000004,1.2575999999999998,2.0,7.0,105.51,5.0,2.0,0.0,7.0,2.0,21.0,0.0
88,228.247,2.631800000000001,1.0,3.0,46.53,3.0,2.0,0.0,3.0,2.0,17.0,0.0
89,380.8710000000001,5.867800000000005,0.0,3.0,27.69,6.0,3.0,0.0,4.0,3.0,27.0,0.0
90,124.13899999999997,1.4008,1.0,2.0,29.46,1.0,1.0,0.0,2.0,1.0,9.0,0.0
91,241.24299999999994,0.5302000000000002,2.0,5.0,91.00999999999999,6.0,1.0,0.0,6.0,1.0,17.0,0.0
92,314.3620000000001,2.5577000000000005,0.0,4.0,60.44,3.0,2.0,0.0,5.0,3.0,22.0,1.0
93,267.245,-1.9800000000000006,4.0,9.0,139.54000000000002,2.0,2.0,1.0,9.0,3.0,19.0,1.0
94,338.77200000000005,0.9242000000000001,3.0,4.0,109.49000000000001,2.0,2.0,0.0,8.0,3.0,22.0,1.0
95,231.25500000000002,1.4176199999999997,2.0,4.0,67.16,4.0,2.0,0.0,5.0,2.0,17.0,0.0
96,210.285,0.0696000000000001,0.0,6.0,48.39000000000001,3.0,1.0,0.0,6.0,1.0,15.0,0.0
97,141.17,0.4491999999999999,1.0,2.0,46.17,1.0,0.0,1.0,3.0,1.0,10.0,1.0
98,76.05499999999999,-0.9561000000000002,3.0,2.0,75.35000000000001,0.0,0.0,0.0,4.0,0.0,5.0,0.0
99,198.21799999999996,0.4272000000000001,2.0,4.0,58.92,5.0,1.0,0.0,4.0,1.0,14.0,0.0
