TAID,Label
TOX-14,0
TOX-27,0
TOX-31,0
TOX-55,1
TOX-75,0
TOX-78,1
TOX-90,0
TOX-94,0
TOX-96,0
TOX-98,0
TOX-122,0
TOX-158,0
TOX-162,0
TOX-166,0
TOX-183,1
TOX-184,0
TOX-194,0
TOX-195,0
TOX-200,0
TOX-204,1
TOX-206,0
TOX-207,0
TOX-212,1
TOX-244,0
TOX-252,0
TOX-270,0
TOX-277,0
TOX-278,0
TOX-290,1
TOX-311,0
TOX-315,1
TOX-321,0
TOX-332,0
TOX-336,0
TOX-378,0
TOX-379,0
TOX-380,0
TOX-385,0
TOX-396,0
TOX-471,0
TOX-472,0
TOX-478,1
TOX-482,0
TOX-510,0
TOX-528,0
TOX-560,1
TOX-570,0
TOX-572,0
TOX-580,1
TOX-581,0
TOX-582,0
TOX-585,0
TOX-593,1
TOX-607,0
TOX-616,1
TOX-622,0
TOX-623,0
TOX-644,1
TOX-646,1
TOX-661,0
TOX-669,0
TOX-672,0
TOX-705,0
TOX-711,0
TOX-713,0
TOX-736,1
TOX-739,0
TOX-741,0
TOX-743,0
TOX-744,0
TOX-803,0
TOX-819,0
TOX-833,1
TOX-839,0
TOX-863,0
TOX-877,1
TOX-901,0
TOX-912,1
TOX-913,1
TOX-925,0
TOX-935,0
TOX-939,0
TOX-941,0
TOX-946,0
TOX-980,0
TOX-981,0
TOX-987,0
TOX-993,0
TOX-994,0
TOX-995,0
TOX-998,0
TOX-1005,0
TOX-1017,0
TOX-1025,0
TOX-1026,0
TOX-1036,0
TOX-1058,0
TOX-1064,0
TOX-1078,0
TOX-1082,0
TOX-1083,0
TOX-1095,1
TOX-1097,0
TOX-1099,0
TOX-1115,0
TOX-1122,0
TOX-1129,0
TOX-1131,1
TOX-1133,0
TOX-1143,0
TOX-1146,0
TOX-1195,0
TOX-1206,0
TOX-1253,1
TOX-1262,0
TOX-1289,1
TOX-1291,0
TOX-1311,0
TOX-1325,1
TOX-1326,0
TOX-1338,0
TOX-1345,0
TOX-1572,1
TOX-1582,1
TOX-1605,0
TOX-1613,0
TOX-1614,0
TOX-1625,1
TOX-1645,0
TOX-1648,0
TOX-1655,0
TOX-1669,0
TOX-1671,1
TOX-1672,0
TOX-1679,0
TOX-1689,0
TOX-1691,0
TOX-1693,0
TOX-1695,0
TOX-1696,0
TOX-1705,0
TOX-1706,0
TOX-1710,0
TOX-1713,0
TOX-1716,0
TOX-1721,0
TOX-1723,0
TOX-1735,1
TOX-1738,0
TOX-1740,0
TOX-1743,0
TOX-1744,0
TOX-1746,0
TOX-1757,0
TOX-1763,0
TOX-1765,0
TOX-1768,0
TOX-1771,0
TOX-1774,0
TOX-1779,0
TOX-1794,0
TOX-1800,0
TOX-1810,0
TOX-1817,0
TOX-1833,0
TOX-1836,0
TOX-1837,0
TOX-1839,1
TOX-1841,0
TOX-1843,0
TOX-1845,0
TOX-1849,0
TOX-1869,0
TOX-1871,0
TOX-1873,0
TOX-1878,0
TOX-1893,0
TOX-1908,0
TOX-1926,0
TOX-1952,0
TOX-1960,1
TOX-1961,0
TOX-1968,1
TOX-1989,0
TOX-1995,1
TOX-1996,1
TOX-2008,0
TOX-2017,0
TOX-2018,0
TOX-2039,0
TOX-2048,0
TOX-2059,0
TOX-2063,0
TOX-2069,0
TOX-2070,0
TOX-2082,0
TOX-2089,0
TOX-2094,0
TOX-2099,0
TOX-2113,0
TOX-2118,0
TOX-2121,0
TOX-2122,0
TOX-2125,0
TOX-2153,0
TOX-2154,0
TOX-2156,0
TOX-2171,0
TOX-2172,1
TOX-2183,0
TOX-2190,0
