y_true,y_prob
0,0.048
0,0.012
0,0.016
0,0.01
0,0.02
0,0.008
0,0.02
0,0.074
0,0.074
0,0.066
0,0.068
0,0.06
0,0.042692555198047266
0,0.042692555198047266
0,0.086
0,0.06
0,0.102
0,0.186
0,0.082
0,0.118
0,0.136
0,0.06734627759902363
0,0.068
0,0.008
0,0.084
1,0.71
0,0.148
1,0.724
1,0.81
1,1.0
0,0.096
1,0.8147360122495415
0,0.152
0,0.096
0,0.122
0,0.058
0,0.03
0,0.066
0,0.5538592692068655
0,0.188
0,0.11551089528078695
0,0.11
0,0.05
1,0.764
1,0.906
0,0.146
0,0.058
0,0.09
0,0.126
0,0.18
0,0.055157161930192634
0,0.082
0,0.008
1,0.758
1,0.868
1,0.666
0,0.02
0,0.018
0,0.046
0,0.03
1,0.69
1,0.6706925551980474
0,0.086
0,0.052
0,0.052
1,0.699014633330546
1,0.6773462775990237
1,0.734
1,0.958
1,0.978
1,0.978
1,0.756
0,0.056
0,0.212
0,0.052
0,0.032
1,0.8999701947491984
1,0.968
0,0.325787027896035
0,0.6139065781732983
0,0.27432814377664555
1,0.752
1,0.784
0,0.16360928381962864
0,0.114
1,0.756
1,0.998
1,0.788
0,0.006
0,0.016
0,0.024
0,0.052
0,0.072
0,0.006
1,0.952
1,0.976
1,0.996
1,0.7933462775990237
1,0.762
1,0.742
0,0.082
0,0.07
0,0.14281408923180142
0,0.154
1,0.998
1,1.0
1,0.998
0,0.048
0,0.086
1,0.914
1,0.8941475011846836
0,0.022
0,0.18
0,0.13
0,0.064
1,0.704
0,0.015294389070748
0,0.01
0,0.01778349378996105
0,0.046
1,0.8033462775990237
0,0.158
0,0.18
1,0.878
0,0.092
0,0.206
0,0.332
0,0.228
0,0.047346277599023635
1,0.758
0,0.044
1,1.0
1,0.99
1,1.0
1,1.0
0,0.066
0,0.314
1,0.754
1,0.818
0,0.012
0,0.024
1,0.934
1,0.934
0,0.17
0,0.15
1,0.996
0,0.028
0,0.07
0,0.112
0,0.16
0,0.016
0,0.02
0,0.022
0,0.08262391715017468
1,0.982
1,0.982
0,0.034
1,0.8313462775990236
0,0.042
1,0.834
0,0.104
1,0.67
0,0.084
1,0.8846925551980473
1,0.934
1,0.934
0,0.046
1,0.7
0,0.08351089528078694
1,0.926
0,0.16572137891899558
1,0.926
1,0.94
0,0.05315716193019264
0,0.076
0,0.04
0,0.017346277599023633
0,0.017346277599023633
1,0.8813462775990236
0,0.008
0,0.008
0,0.008
1,0.936
1,0.948
1,0.89
0,0.004
0,0.046
0,0.052
0,0.08
0,0.17915716193019265
0,0.178
0,0.106
0,0.052
0,0.074
0,0.06
0,0.10134627759902363
1,0.82
0,0.11760928381962864
1,0.964
1,0.964
0,0.1
1,0.984
1,0.98
1,0.982
0,0.0
0,0.07138987907011891
1,0.71
1,0.74
0,0.016
0,0.03
1,0.942
0,0.016
1,0.928
0,0.16998223511052526
1,0.928
1,0.942
0,0.07
0,0.086
0,0.03
0,0.016
1,0.97
1,0.7503407088494745
0,0.064
0,0.008
0,0.06
1,0.832
0,0.12960928381962863
0,0.052
1,0.81
0,0.03
1,0.748
0,0.194
1,0.734
0,0.05
0,0.3197213789189956
0,0.028
1,0.9016092838196287
1,0.8603609109295697
0,0.102
0,0.044
0,0.106
0,0.082
1,0.83
0,0.13301463333054603
1,0.698
0,0.01
0,0.008
0,0.012
0,0.016
0,0.028
1,0.836
1,0.796
0,0.053330662738624246
1,0.686
0,0.008
0,0.02
1,0.5973152472417684
0,0.21880744294416035
0,0.08869255519804728
0,0.01
0,0.01
0,0.012
0,0.01
0,0.012
0,0.02
0,0.02
0,0.054
0,0.022
0,0.044
0,0.016
1,0.8636092838196286
1,0.898
0,0.18
0,0.06
0,0.06346491230239704
0,0.040290928410848394
0,0.028736012249541636
0,0.068
0,0.3
1,0.796
0,0.072
0,0.8941475011846836
0,0.088
1,0.944
0,0.052
0,0.19
0,0.07
1,0.82
1,0.918
1,0.894
1,0.902
0,0.088
0,0.1148140892318014
0,0.16534627759902365
1,0.812
0,0.244
1,0.858
0,0.11134627759902363
1,0.73
0,0.204
1,0.7920356286815226
1,0.9403841288662413
1,0.9353462775990237
1,0.798
0,0.146
0,0.212
1,0.7773462775990235
0,0.1
1,0.828
0,0.106
0,0.05
0,0.12003883279707091
1,0.764301839017676
0,0.004
0,0.004
0,0.32
0,0.16630183901767592
1,0.8848140892318014
1,0.878
0,0.006
0,0.142
0,0.062
0,0.0991297713889847
1,0.688
0,0.18149004565539004
0,0.0
0,0.021014633330546033
0,0.021014633330546033
0,0.04447604898800832
0,0.012
0,0.012
0,0.018
1,0.8226797378298134
1,0.826
0,0.028
1,0.906
1,0.882
0,0.086
1,0.916
1,0.916
0,0.01
1,0.746
0,0.032
0,0.032
1,0.996
1,0.88
1,0.898
0,0.136
0,0.1657213789189956
0,0.016
1,0.695014633330546
0,0.012
0,0.012
0,0.028
0,0.012
0,0.134
1,0.844
1,0.8550146333305461
0,0.042
1,0.742
1,0.798
1,0.79
1,0.856
0,0.046
0,0.13160928381962864
0,0.06895556141865228
0,0.094
0,0.022
0,0.0
0,0.008
0,0.0
1,0.866
1,0.866
0,0.012
0,0.068
1,0.906
1,0.766
1,0.868
0,0.048
0,0.04505346612761693
0,0.186
0,0.042
1,0.776
1,0.774
0,0.048
0,0.132
1,0.902
0,0.05934627759902364
1,1.0
1,0.956
1,0.962
1,0.96
0,0.046
0,0.09934627759902363
0,0.038
0,0.032
1,0.99
1,0.7813036549799882
0,0.15036091092956966
0,0.0
0,0.17334627759902363
1,0.49049062935793036
0,0.13
0,0.014
0,0.016
0,0.04
0,0.04
0,0.07534627759902364
1,0.8757506455800876
0,0.016
0,0.014
0,0.11715716193019264
0,0.03
0,0.044
1,0.8309555614186522
0,0.014
0,0.028
0,0.036
0,0.048
0,0.16397019474919833
0,0.09
1,0.756
0,0.02
1,0.83
0,0.07
0,0.054
0,0.054
0,0.06
0,0.08334627759902363
0,0.024
0,0.04
0,0.058
1,0.7493462775990236
0,0.028
0,0.156
0,0.05960928381962864
0,0.036
0,0.047053466127616926
0,0.136
0,0.132
0,0.148
0,0.08
0,0.068
0,0.022
0,0.061014633330546034
0,0.024
0,0.032
0,0.03
1,0.846
0,0.042
0,0.002
0,0.002
0,0.048
1,0.786
0,0.002
0,0.052
0,0.036
0,0.03
0,0.04101463333054603
0,0.056
0,0.032
0,0.012
0,0.078
0,0.086
0,0.0717213789189956
