y_true,y_prob
0,0.018
0,0.0
0,0.01
0,0.006
0,0.016
0,0.004
0,0.01
0,0.054
0,0.054
0,0.052
0,0.046
0,0.016
0,0.002
0,0.002
0,0.1
0,0.034
0,0.022
0,0.046
0,0.046
0,0.028
0,0.022
0,0.03
0,0.03
0,0.024
0,0.128
1,0.692
0,0.166
1,0.78
1,0.772
1,0.978
0,0.116
1,0.758
0,0.054
0,0.03
0,0.066
0,0.054
0,0.03
0,0.026
0,0.144
0,0.198
0,0.16
0,0.094
0,0.032
1,0.854
1,0.948
0,0.188
0,0.086
0,0.09560928381962865
0,0.126
0,0.196
0,0.08
0,0.034
0,0.016
1,0.798
1,0.98
1,0.642
0,0.048
0,0.074
0,0.092
0,0.038
1,0.768
1,0.714
0,0.082
0,0.138
0,0.124
1,0.854
1,0.824
1,0.778
1,0.966
1,0.97
1,0.982
1,0.784
0,0.068
0,0.106
0,0.078
0,0.088
1,0.83
1,0.866
0,0.244
0,0.076
0,0.148
1,0.78
1,0.712
0,0.226
0,0.118
1,0.756
1,0.986
1,0.804
0,0.008
0,0.018
0,0.096
0,0.038
0,0.07
0,0.008
1,0.926
1,0.972
1,0.984
1,0.796
1,0.79
1,0.74
0,0.112
0,0.064
0,0.11
0,0.132
1,0.936
1,0.964
1,0.96
0,0.07
0,0.05
1,0.822
1,0.942
0,0.008
0,0.14
0,0.11
0,0.054
1,0.782
0,0.018
0,0.028
0,0.014
0,0.106
1,0.82
0,0.092
0,0.15
1,0.822
0,0.086
0,0.08
0,0.316
0,0.18
0,0.018
1,0.81
0,0.058
1,0.996
1,1.0
1,1.0
1,0.998
0,0.094
0,0.29
1,0.696
1,0.78
0,0.01
0,0.01
1,0.914
1,0.922
0,0.1
0,0.08
1,0.944
0,0.048
0,0.086
0,0.108
0,0.174
0,0.004
0,0.019346277599023635
0,0.006
0,0.108
1,0.9576092838196286
1,0.9576092838196286
0,0.08
1,0.84
0,0.124
1,0.79
0,0.09360928381962864
1,0.758
0,0.082
1,0.77
1,0.88
1,0.86
0,0.04
1,0.734
0,0.094
1,0.844
0,0.186
1,0.932
1,0.936
0,0.082
0,0.062
0,0.064
0,0.02
0,0.02
1,0.866
0,0.002
0,0.002
0,0.002
1,0.95
1,0.948
1,0.938
0,0.013609283819628648
0,0.07934627759902364
0,0.10334627759902364
0,0.05
0,0.168
0,0.154
0,0.048
0,0.074
0,0.09934627759902363
0,0.062
0,0.096
1,0.7596092838196287
0,0.116
1,0.98
1,0.98
0,0.154
1,0.996
1,0.992
1,0.994
0,0.0
0,0.076
1,0.692
1,0.744
