y_true,y_prob
0,0.0017590977
0,0.0013856216
0,0.00035391675
0,0.00058734085
0,0.0014180203
0,0.0012158621
0,0.0016748902
0,0.052164447
0,0.03710002
0,0.03124988
0,0.011435114
0,0.0053270664
0,0.14834316
0,0.14834316
0,0.06644636
0,0.5020807
0,0.50950503
0,0.59614074
0,0.5379176
0,0.405176
0,0.4993195
0,0.45015085
0,0.48005226
0,0.0158564
0,0.51069283
1,0.45786774
0,0.49980506
1,0.44541946
1,0.6062891
1,0.9829597
0,0.17103432
1,0.42517504
0,0.06903705
0,0.040268507
0,0.05616373
0,0.19675627
0,0.043056484
0,0.047757376
0,0.5001892
0,0.820352
0,0.7046536
0,0.26307964
0,0.09131226
1,0.12223146
1,0.72778535
0,0.845708
0,0.047344953
0,0.15231712
0,0.25857744
0,0.4779488
0,0.095464766
0,0.020776544
0,0.046878014
1,0.4217656
1,0.9848743
1,0.25513384
0,0.026393581
0,0.03907853
0,0.112984106
0,0.029418351
1,0.72752494
1,0.2602686
0,0.36128622
0,0.13751024
0,0.06787467
1,0.083137974
1,0.11899551
1,0.15830645
1,0.9545858
1,0.9564756
1,0.93898624
1,0.5983343
0,0.13254106
0,0.41148406
0,0.06642678
0,0.045667388
1,0.9328116
1,0.94371
0,0.94371
0,0.82666546
0,0.5965121
1,0.70150423
1,0.4176462
0,0.32905737
0,0.3949317
1,0.41538683
1,0.98628527
1,0.7409433
0,0.03728708
0,0.0021933485
0,0.0028907424
0,0.018802974
0,0.16641308
0,0.03728708
1,0.93364567
1,0.5165763
1,0.57053787
1,0.7999569
1,0.40180498
1,0.34270385
0,0.17736873
0,0.12309406
0,0.19947618
0,0.5054316
1,0.86951715
1,0.91900253
1,0.8999362
0,0.07887657
0,0.01402179
1,0.9659248
1,0.40521216
0,0.021071728
0,0.48258913
0,0.15355259
0,0.25084135
1,0.6548742
0,0.10587157
0,0.11899551
0,0.15928996
0,0.42841628
1,0.42223218
0,0.40807238
0,0.4091815
1,0.637257
0,0.0264945
0,0.40057412
0,0.9088833
0,0.45148042
0,0.07763431
1,0.5162412
0,0.0793
1,0.96735823
1,0.83787704
1,0.9759215
1,0.9815224
0,0.17449062
0,0.47799763
1,0.49049613
1,0.8362524
0,0.0023439038
0,0.00034443723
1,0.620121
1,0.69925845
0,0.31761676
0,0.06766916
1,0.9989106
0,0.109106496
0,0.14986476
0,0.5450078
0,0.37993753
0,0.02245078
0,0.0016027549
0,0.02852794
0,0.375135
1,0.9605942
1,0.9605942
0,0.1398269
1,0.5911555
0,0.12569065
1,0.37120676
0,0.2115929
1,0.54330754
0,0.07705475
1,0.8202255
1,0.9256904
1,0.9256904
0,0.08186347
1,0.30522522
0,0.1833881
1,0.82891226
0,0.55510503
1,0.7656907
1,0.6396395
0,0.02602483
0,0.0036049027
0,0.12874524
0,0.00012867406
0,0.00012867406
1,0.9444955
0,0.0028299224
0,0.0028299224
0,0.0028299224
1,0.7903949
1,0.8064116
1,0.69832087
0,7.4841023e-06
0,0.0050633433
0,0.0023222563
0,0.00084039866
0,0.5715344
0,0.22751817
0,0.19698684
0,0.22214738
0,0.268647
0,0.20946983
0,0.037081722
1,0.849294
0,0.18130866
1,0.9948206
1,0.9948206
0,0.25529823
1,0.9618432
1,0.97095144
1,0.9637169
0,5.1952262e-05
0,0.4058851
1,0.35457382
1,0.57750654
0,0.14418538
0,0.12189212
1,0.46639702
0,0.068397805
1,0.70976436
0,0.7069036
1,0.70976436
1,0.46639702
0,0.0014516267
0,0.016493008
0,0.023904802
0,0.040254854
1,0.96930313
1,0.9936799
0,0.01527671
0,0.26283506
0,0.18674561
1,0.6105354
0,0.345353
0,0.027534137
1,0.49777305
0,0.00022690617
1,0.46737367
0,0.71289766
1,0.892384
0,0.002691621
0,0.7080738
0,0.085259624
1,0.91998804
1,0.92008704
0,0.21096057
0,0.23770171
0,0.1947335
0,0.3189754
1,0.72655165
0,0.7336811
1,0.99874586
0,0.010970715
0,0.081711665
0,0.004770656
0,0.004770656
0,0.20443122
1,0.6328778
1,0.9473248
0,0.20841154
1,0.45383146
0,0.000101391895
0,0.03027614
1,0.9146258
0,0.8075571
0,0.8000354
0,0.006879645
0,0.006879645
0,0.005349456
0,0.006879645
0,0.005349456
0,0.2756553
0,0.2756553
0,0.40642643
0,0.19706011
0,0.35536155
0,0.09724039
1,0.8152908
1,0.65155196
0,0.31768966
0,0.14393865
0,0.056227896
0,0.13018063
0,0.004682391
0,0.02848893
0,0.8707936
1,0.6412997
0,0.06695981
0,0.44128075
0,0.03916252
1,0.8893403
0,0.010242366
0,0.3136545
0,0.06107365
1,0.7401272
1,0.5317509
1,0.5317509
1,0.6457809
0,0.49048567
0,0.52888596
0,0.52760327
1,0.52698416
0,0.51384425
1,0.50234663
0,0.07657813
1,0.540349
0,0.45389304
1,0.85075223
1,0.964314
1,0.9645359
1,0.7840978
0,0.47174937
0,0.5794102
1,0.4955534
0,0.18861769
1,0.96915466
0,0.21088405
0,0.4444611
0,0.5248084
1,0.67727876
0,0.1308569
0,0.1308569
0,0.68417037
0,0.3134467
1,0.9231214
1,0.68269694
0,0.012734698
0,0.23779938
0,0.111649916
0,0.45597345
1,0.1999071
0,0.06813959
0,0.0005562192
0,0.0029668547
0,0.0029668547
0,0.007549828
0,0.0051920996
0,0.0051920996
0,0.05564317
1,0.89241266
1,0.9027859
0,0.3053663
1,0.94611466
1,0.42290393
0,0.4188493
1,0.9598398
1,0.9598398
0,0.23549916
1,0.74471295
0,0.19825198
0,0.3685988
1,0.9156776
1,0.9609318
1,0.99554765
0,0.31812483
0,0.91453743
0,0.00016515472
1,0.54355806
0,0.1538915
0,0.1538915
0,0.17772384
0,0.1538915
0,0.57847726
1,0.637242
1,0.5123299
0,0.016117785
1,0.4846095
1,0.2713546
1,0.38605183
1,0.9583623
0,0.047007505
0,0.47387308
0,0.0145551
0,0.4392543
0,0.11512462
0,0.0005379053
0,0.0010978418
0,0.0005379053
1,0.8319737
1,0.7995437
0,0.14624307
0,0.29773134
1,0.9019313
1,0.87670183
1,0.6456225
0,0.081469856
0,0.1194668
0,0.48625305
0,0.09185589
1,0.8123772
1,0.7322885
0,6.5593886e-06
0,0.12000081
1,0.8619747
0,0.16264048
1,0.9775696
1,0.88832825
1,0.8985694
1,0.9314249
0,0.07644906
0,0.19984184
0,0.07007269
0,0.2943014
1,0.9090536
1,0.966108
0,0.29883724
0,0.036240418
0,0.29417422
1,0.06824748
0,0.61131084
0,0.00034435905
0,0.0030475291
0,0.011070454
0,0.011070454
0,0.0035476442
1,0.9031984
0,0.004331989
0,0.14322981
0,0.086219236
0,0.13331264
0,0.051914
1,0.830659
0,0.4589182
0,0.35579902
0,0.005600543
0,0.0073354095
0,0.4422191
0,0.60242605
1,0.30682766
0,0.003915876
1,0.8130766
0,0.032529242
0,0.0068784943
0,0.00059350044
0,0.0052529885
0,0.050874118
0,0.0006328271
0,0.0049436283
0,0.0020347356
1,0.78151155
0,9.631429e-06
0,0.0058539445
0,0.020352868
0,0.0034275914
0,0.07153734
0,0.06428452
0,0.03489299
0,0.065137014
0,0.02731483
0,0.016783105
0,0.00013417323
0,3.472159e-05
0,0.0016392064
0,0.0073628523
0,0.17580669
1,0.7238841
0,0.03448552
0,0.0055840174
0,0.0055840174
0,4.381047e-05
1,0.65361
0,0.0024941168
0,0.012275084
0,0.07230248
0,0.0039178296
0,0.0058762957
0,0.06597932
0,0.0024998651
0,0.0041492255
0,0.33530372
0,0.12810823
0,0.022455512
0,0.0007451182
0,0.01288882
1,0.15754397
0,0.08463765
0,0.017371032
1,0.9929296
1,0.99171335
0,0.056535956
0,0.13050628
1,0.89172256
1,0.89969575
1,0.67384744
0,0.046921857
0,0.040321458
0,0.024929522
0,0.09738343
0,0.09738343
0,0.51558995
1,0.8351124
1,0.8788804
1,0.61368096
0,0.6643299
1,0.5818013
0,0.5318473
0,0.11697912
1,0.9342306
0,0.7771982
0,0.37407357
0,0.012915815
0,0.012915815
0,0.012915815
1,0.6381854
0,0.0101814065
0,0.5181539
0,0.054300256
0,0.48617846
1,0.940049
1,0.9833196
1,0.97870535
1,0.9751203
1,0.9738101
1,0.9453097
1,0.9618208
1,0.9896116
1,0.9896116
1,0.97889966
0,0.016465634
1,0.5946339
0,0.00023205807
0,0.005220849
0,0.00023205807
0,0.073966384
0,0.8758036
0,0.17141086
0,0.038314417
0,0.09813356
0,0.42197683
1,0.5999545
0,0.13599522
1,0.39013377
0,0.07543904
0,0.045784347
0,0.08027164
1,0.8190227
0,0.49084106
1,0.71008086
0,0.06597675
0,0.68003917
0,0.20235725
0,0.53208864
1,0.87517434
0,0.480035
0,0.36212647
1,0.47997513
0,0.12854497
1,0.3877472
1,0.30941725
1,0.29918507
1,0.8832007
0,0.15696914
0,0.31633037
0,0.4806605
0,0.41533175
0,0.45880437
1,0.8953228
0,0.16317147
1,0.3712361
1,0.26677942
1,0.3361061
0,0.24953347
0,0.15965717
0,0.19317877
0,0.18714955
0,0.11064568
0,0.11908268
0,0.0982005
0,0.09209603
0,0.047483075
0,0.3825515
0,0.67717004
0,0.45386648
1,0.9317301
1,0.6921854
0,0.1946234
1,0.9618851
1,0.2711585
1,0.2711585
0,0.08894236
0,0.04089758
1,0.6081139
0,0.34596372
0,0.00094463705
0,0.0014905143
1,0.9425704
1,0.9277512
1,0.9235927
0,0.0015366562
0,0.2906043
1,0.97606367
1,0.99595565
0,0.080845095
0,0.12210088
1,0.7052971
1,0.52483046
0,0.3619314
0,0.06190213
0,0.23523524
0,0.12065011
0,0.015936822
1,0.8129913
0,0.009038053
1,0.5516028
0,0.0016363411
1,0.7806776
0,0.04055804
1,0.6974323
0,0.098231085
0,0.087216236
0,0.225787
0,0.062640764
1,0.4284828
0,0.007055469
0,0.47285807
1,0.89019835
1,0.9018696
1,0.3053999
0,0.5510955
0,0.08308014
1,0.1771676
0,0.18428236
0,0.51273715
0,0.5614047
0,0.27285254
1,0.57915425
1,0.61172825
0,0.1107581
0,0.013276741
0,0.002578355
0,0.002578355
0,0.01793504
1,0.6797894
0,0.4707654
0,0.28938425
1,0.8393399
0,0.60525274
1,0.4521173
0,0.033743042
1,0.56637615
1,0.52865195
0,0.42818108
1,0.96100044
0,0.3137079
0,0.00031706714
0,0.018083319
0,0.5665654
0,0.08638081
0,0.42677245
1,0.6340993
0,0.000985121
0,0.003807351
0,0.0034811338
0,0.23686568
1,0.5050562
