y_true,y_prob
0,0.006047006
0,0.0030758115
0,0.0031921128
0,0.0020450824
0,0.0038755124
0,0.016932325
0,0.016193647
0,0.098136716
0,0.1587688
0,0.09714824
0,0.24365543
0,0.004413812
0,0.46216512
0,0.46186364
0,0.26038885
0,0.4688403
0,0.5251963
0,0.4797484
0,0.61673236
0,0.46234754
0,0.4719246
0,0.47440612
0,0.5256907
0,0.48790482
0,0.45365205
1,0.35339418
0,0.49413
1,0.4116149
1,0.5411783
1,0.46661487
0,0.5827644
1,0.44934908
0,0.42933866
0,0.42381525
0,0.45090875
0,0.13447848
0,0.055521376
0,0.28008762
0,0.36989012
0,0.47199222
0,0.5469465
0,0.08939141
0,0.31544325
1,0.4774128
1,0.5555315
0,0.5218449
0,0.4328791
0,0.257387
0,0.460242
0,0.43746266
0,0.33590418
0,0.040073987
0,0.10623973
1,0.4950336
1,0.63392746
1,0.24738897
0,0.3194869
0,0.040951353
0,0.23215206
0,0.16318835
1,0.24160601
1,0.4727228
0,0.49955523
0,0.34876966
0,0.27976245
1,0.43494013
1,0.19460973
1,0.5257244
1,0.5880111
1,0.63674986
1,0.615977
1,0.46804452
0,0.030047962
0,0.47881997
0,0.22096147
0,0.057804067
1,0.50826603
1,0.55003375
0,0.60644454
0,0.47915062
0,0.4690792
1,0.41515875
1,0.5440128
0,0.55211246
0,0.45577586
1,0.5568065
1,0.48443165
1,0.48399013
0,0.36777666
0,0.2346127
0,0.4211241
0,0.116781294
0,0.46719542
0,0.36379054
1,0.37039775
1,0.47277173
1,0.4750514
1,0.52245104
1,0.4732738
1,0.31548807
0,0.15222536
0,0.47932726
0,0.33800897
0,0.360466
1,0.33742264
1,0.45117402
1,0.58749306
0,0.07970532
0,0.30497807
1,0.50029826
1,0.43677178
0,0.47019103
0,0.3395798
0,0.33644047
0,0.053021606
1,0.42942166
0,0.17741491
0,0.3310488
0,0.40542805
0,0.33173248
1,0.45351934
0,0.18959655
0,0.29133472
1,0.4876432
0,0.23079398
0,0.32122302
0,0.6388312
0,0.4793451
0,0.38691583
1,0.48105156
0,0.24342111
1,0.63733995
1,0.5598123
1,0.57769
1,0.60674334
0,0.052636947
0,0.47489497
1,0.4820912
1,0.47179732
0,0.24466713
0,0.00771734
1,0.4885434
1,0.49212083
0,0.4686117
0,0.2372656
1,0.47923863
0,0.46018416
0,0.36835116
0,0.16872841
0,0.4190064
0,0.009138663
0,0.037844118
0,0.010162418
0,0.49877623
1,0.46043772
1,0.46031988
0,0.43078083
1,0.49420956
0,0.58508664
1,0.5326081
0,0.41691515
1,0.4852403
0,0.36285746
1,0.5437021
1,0.46781066
1,0.47206652
0,0.41454488
1,0.49103606
0,0.17441368
1,0.47680888
0,0.46221018
1,0.5441209
1,0.5032555
0,0.35545948
0,0.22068302
0,0.38704675
0,0.45066527
0,0.46356782
1,0.4776432
0,0.4971513
0,0.4997508
0,0.49347308
1,0.47948685
1,0.46997863
1,0.55404246
0,0.43121922
0,0.24808249
0,0.45785415
0,0.46805745
0,0.4474364
0,0.49678606
0,0.16597988
0,0.24274763
0,0.33652785
0,0.2342623
0,0.5453675
1,0.45958218
0,0.4327264
1,0.4641663
1,0.46358013
0,0.1789456
1,0.5996044
1,0.6406443
1,0.5658675
0,0.4250965
0,0.23505749
1,0.5458219
1,0.3685077
0,0.19612227
0,0.28050777
1,0.27251387
0,0.047313623
1,0.24470721
0,0.20057857
1,0.26668555
1,0.36384454
0,0.1973902
0,0.22283751
0,0.08578951
0,0.47321454
1,0.6428262
1,0.45138064
0,0.08369152
0,0.47141516
0,0.45767483
1,0.53199315
0,0.4718036
0,0.31358886
1,0.4751662
0,0.46609986
1,0.48048005
0,0.49203107
1,0.57073724
0,0.30762774
0,0.46255022
0,0.22134714
1,0.47759828
1,0.47189757
0,0.17758335
0,0.113204025
0,0.39452454
0,0.47239837
1,0.51934046
0,0.39663848
1,0.4720095
0,0.46270388
0,0.47916594
0,0.45700538
0,0.5297363
0,0.53276515
1,0.48216778
1,0.46373308
0,0.4675899
1,0.45384
0,0.4359921
0,0.2138577
1,0.47007495
0,0.59860075
0,0.43768635
0,0.48283845
0,0.48292175
0,0.48013866
0,0.48288557
0,0.48012912
0,0.24470218
0,0.2443548
0,0.34547958
0,0.38953713
0,0.3856611
0,0.36386108
1,0.5120806
1,0.44186395
0,0.51031053
0,0.36829427
0,0.2278132
0,0.14767498
0,0.023313032
0,0.07474803
0,0.46739385
1,0.54139364
0,0.23151289
0,0.4040892
0,0.14067847
1,0.45102352
