y_true,y_prob
0,0.0053893146
0,0.0013689264
0,0.0015134787
0,0.0029100827
0,0.0025444068
0,0.004342256
0,0.0028651906
0,0.0162089
0,0.009755216
0,0.006365175
0,0.0025295804
0,0.0012820233
0,0.0018063361
0,0.0018063361
0,0.014830798
0,0.005104814
0,0.0019446773
0,0.0015616406
0,0.01565995
0,0.027821401
0,0.016869793
0,9.676146e-05
0,0.0005181444
0,0.0013323087
0,0.009572885
1,0.96015763
0,0.042375974
1,0.970462
1,0.96705383
1,0.998692
0,0.017529288
1,0.9802862
0,0.044197317
0,0.034548987
0,0.05612997
0,0.011893977
0,0.0031962348
0,0.0076747453
0,0.056525998
0,0.066738784
0,0.03621799
0,0.029836763
0,0.013077122
1,0.9902935
1,0.9904321
0,0.07823807
0,0.032125
0,0.049468372
0,0.026822746
0,0.049508978
0,0.011911783
0,0.009805631
0,0.023405235
1,0.94156927
1,0.99893266
1,0.71310073
0,0.02779688
0,0.08413735
0,0.10466273
0,0.011944114
1,0.89531124
1,0.9228864
0,0.012023981
0,0.13644682
0,0.018285481
1,0.95068276
1,0.95336133
1,0.9794012
1,0.99598724
1,0.99789494
1,0.997835
1,0.947073
0,0.05857414
0,0.05017281
0,0.026855644
0,0.02776333
1,0.96763325
1,0.9593628
0,0.07861115
0,0.004536
0,0.058148567
1,0.985849
1,0.9569367
0,0.081425175
0,0.060985688
1,0.95791703
1,0.99926573
1,0.96926975
0,0.004815069
0,0.0036903855
0,0.026037693
0,0.014277316
0,0.008216751
0,0.004815069
1,0.9785008
1,0.994304
1,0.99925095
1,0.96343863
1,0.97047776
1,0.89053893
0,0.068965636
0,0.009991798
0,0.041904844
0,0.037929915
1,0.99347466
1,0.9984542
1,0.99819595
0,0.015848463
0,0.005362866
1,0.9833534
1,0.9933415
0,0.0010013713
0,0.07427096
0,0.012039365
0,0.008486828
1,0.986969
0,0.012201206
0,0.008260492
0,0.009430555
0,0.032239653
1,0.99013394
0,0.02056212
0,0.02418896
1,0.9802172
0,0.0105489455
0,0.016077435
0,0.17024244
0,0.053217363
0,0.008886794
1,0.9813141
0,0.006628623
