y_true,y_prob
0,0.16126814
0,0.10068157
0,0.032766156
0,0.23362103
0,0.002799614
0,0.16197799
0,0.23362103
0,0.11955786
0,0.120140284
0,0.15101013
0,0.027327154
0,0.014435385
0,0.1999424
0,0.1999424
0,0.78968096
0,0.49987713
0,0.49987713
0,0.49987713
0,0.49771193
0,0.49771193
0,0.49771193
0,0.35279486
0,0.35279486
0,0.027926724
0,0.03450558
1,0.2516014
0,0.72662115
1,0.60678506
1,0.7075471
1,0.6190859
0,0.6520902
1,0.6557259
0,0.31102103
0,0.31102103
0,0.21554163
0,0.2518548
0,0.11143688
0,0.41075504
0,0.23702413
0,0.55140835
0,0.78017443
0,0.7075471
0,0.3401958
1,0.6350575
1,0.9762047
0,0.4786234
0,0.08725027
0,0.41296697
0,0.62142146
0,0.65831953
0,0.08646296
0,0.24948548
0,0.69376993
1,0.56675094
1,0.98376554
1,0.491426
0,0.031432245
0,0.51691496
0,0.5606373
0,0.036605746
1,0.69376993
1,0.61370164
0,0.43995395
0,0.68044764
0,0.4619253
1,0.30752766
1,0.36544377
1,0.27864844
1,0.8782955
1,0.8782955
1,0.8782955
1,0.7408265
0,0.4309651
0,0.5815074
0,0.009970698
0,0.021955471
1,0.77791137
1,0.5093845
0,0.5093845
0,0.4408778
0,0.40250212
1,0.8157555
1,0.23374248
0,0.11400267
0,0.25222522
1,0.5323855
1,0.890176
1,0.68109244
0,0.1402813
0,0.13813038
0,0.1402813
0,0.36026886
0,0.101007715
0,0.1402813
1,0.82654774
1,0.49311754
1,0.6602903
1,0.77791137
1,0.4524226
1,0.7834116
0,0.66761196
0,0.012645484
0,0.6314801
0,0.66761196
1,0.5093845
1,0.5093845
1,0.5093845
0,0.3345344
0,0.05999179
1,0.37613878
1,0.6014688
0,0.004162424
0,0.7081847
0,0.12591326
0,0.5093845
1,0.53753763
0,0.12664185
0,0.069030605
0,0.12664185
0,0.84809804
1,0.4570539
0,0.7081847
0,0.5679799
1,0.8843916
0,0.78968096
0,0.6858907
0,0.9381544
0,0.3152413
0,0.17946434
1,0.7205346
0,0.14350618
1,0.99351406
1,0.99650145
1,0.9952302
1,0.9950541
0,0.81343824
0,0.91238815
1,0.91238815
1,0.95169693
0,0.14212707
0,0.036021344
1,0.7520295
1,0.7520295
0,0.7699424
0,0.74387044
1,0.8381105
0,0.16906925
0,0.16906925
0,0.5093845
0,0.36227518
0,0.23362103
0,0.004024712
0,0.18843406
0,0.72846764
1,0.86458266
1,0.86458266
0,0.5672132
1,0.8131353
0,0.16420822
1,0.6867835
0,0.14850082
1,0.3462744
0,0.274527
1,0.80118483
1,0.919531
1,0.919531
0,0.0703306
1,0.60373545
0,0.40250212
1,0.78017443
0,0.74491376
1,0.7408265
1,0.7408265
0,0.004180312
0,0.0035419075
0,0.12959078
0,0.0028681827
0,0.0028681827
1,0.6822917
0,0.030517835
0,0.030517835
0,0.030517835
1,0.8982489
1,0.8982489
1,0.8982489
0,0.000888468
0,0.007791267
0,0.077391654
0,0.0053102374
0,0.431666
0,0.5093845
0,0.5093845
0,0.5093845
0,0.5093845
0,0.5093845
0,0.18437469
1,0.5193504
0,0.50443774
1,0.96199775
1,0.96199775
0,0.7075471
1,0.9936964
1,0.99338794
1,0.99338794
0,0.0047820415
0,0.311262
1,0.49057066
1,0.28574
0,0.13888688
0,0.13888688
1,0.53463846
0,0.78968096
1,0.5794619
0,0.53463846
1,0.5794619
1,0.53463846
0,0.78968096
0,0.78968096
0,0.0094665345
0,0.08175222
1,0.9967145
1,0.984696
0,0.17057845
0,0.0073863994
0,0.17926632
1,0.57801366
0,0.3262317
0,0.22001243
1,0.8339196
0,0.004329596
1,0.71278846
0,0.7278781
1,0.37681666
0,0.086472504
0,0.2987513
0,0.346364
1,0.862065
1,0.9008199
0,0.44343692
0,0.44343692
0,0.7739058
0,0.048490018
1,0.37192792
0,0.78017443
1,0.77116746
0,0.0652459
0,0.10192971
0,0.13437408
0,0.13437408
0,0.13437408
1,0.7427581
1,0.94750535
0,0.12353128
1,0.6875852
0,0.0011086959
0,0.762594
1,0.9489383
0,0.96863246
0,0.18843406
0,0.0052849874
0,0.0052849874
0,0.0052849874
0,0.0052849874
0,0.0052849874
0,0.39984643
