Models,Balanced Accuracy,AUROC,AUPRC,MCC,Sensitivity,Specificity
RF_Concatenated features,0.773 ± 0.004,0.929 ± 0.000,0.850 ± 0.001,0.632 ± 0.006,0.578 ± 0.008,0.968 ± 0.000
RF_ECFP,0.773 ± 0.003,0.921 ± 0.001,0.837 ± 0.000,0.627 ± 0.004,0.581 ± 0.005,0.965 ± 0.001
RF_EState,0.772 ± 0.001,0.914 ± 0.001,0.809 ± 0.002,0.600 ± 0.001,0.601 ± 0.003,0.942 ± 0.001
RF_MACCS keys,0.766 ± 0.000,0.912 ± 0.001,0.807 ± 0.000,0.602 ± 0.001,0.580 ± 0.002,0.953 ± 0.002
RF_PCP,0.763 ± 0.002,0.894 ± 0.001,0.770 ± 0.002,0.564 ± 0.006,0.605 ± 0.002,0.921 ± 0.002
RF_RDKit,0.735 ± 0.003,0.912 ± 0.001,0.821 ± 0.001,0.582 ± 0.004,0.494 ± 0.005,0.976 ± 0.001
RF_Substructure,0.737 ± 0.001,0.836 ± 0.001,0.665 ± 0.000,0.464 ± 0.001,0.646 ± 0.002,0.829 ± 0.001
XGB_Concatenated features,0.860 ± 0.004,0.950 ± 0.001,0.886 ± 0.001,0.727 ± 0.008,0.790 ± 0.007,0.930 ± 0.002
XGB_ECFP,0.839 ± 0.001,0.928 ± 0.001,0.853 ± 0.000,0.675 ± 0.002,0.771 ± 0.004,0.906 ± 0.002
XGB_EState,0.827 ± 0.001,0.918 ± 0.001,0.821 ± 0.002,0.641 ± 0.001,0.769 ± 0.002,0.885 ± 0.001
XGB_MACCS keys,0.830 ± 0.002,0.922 ± 0.000,0.825 ± 0.001,0.660 ± 0.004,0.753 ± 0.005,0.906 ± 0.001
XGB_PCP,0.803 ± 0.001,0.899 ± 0.000,0.769 ± 0.002,0.585 ± 0.003,0.753 ± 0.001,0.853 ± 0.003
XGB_RDKit,0.808 ± 0.002,0.921 ± 0.001,0.835 ± 0.003,0.648 ± 0.002,0.685 ± 0.006,0.932 ± 0.003
XGB_Substructure,0.770 ± 0.002,0.860 ± 0.000,0.694 ± 0.000,0.515 ± 0.003,0.717 ± 0.005,0.822 ± 0.001
