scaffold,mean_shap,effect
O=C(c1cc2c(n1CCc1c[nH]c3ccccc13)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0034163955,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCc3c[nH]c4ccccc34)C2C1Cc1ccccc1,0.003236103,positive
O=C(c1cc2c(n1CCc1ccccc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0030511757,positive
O=C(c1cc2c(n1Cc1nc3ccccc3[nH]1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0030258573,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCc3ccccc3)C2C1Cc1ccccc1,0.002943025,positive
O=C(c1cc2c(n1Cc1ccsc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002941323,positive
O=C(c1cc2c(n1Cc1cccc3c1OCOC3)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0029102385,positive
c1ccc2c(CCNc3ncnc4ccc(-c5ccc6c(c5)OCO6)cc34)c[nH]c2c1,0.002887663,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3nc4ccccc4[nH]3)C2C1Cc1ccccc1,0.0028829963,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3cccc4ccccc34)C2C1Cc1ccccc1,0.0028496431,positive
c1cncc(-c2nc(NCCc3c[nH]c4ccccc34)c3ccccc3n2)c1,0.002833848,positive
c1cncc(CNc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)c1,0.0028230157,positive
c1cncc(-c2ccc3ncnc(NCCc4c[nH]c5ccccc45)c3c2)c1,0.0028133006,positive
O=C1OC(=NCCc2c[nH]c3ccccc23)C2(Cc3ccccc3)C3C(=CCc4cn(-c5ccccc5)cc43)C=CN12,0.0027452912,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccsc3)C2C1Cc1ccccc1,0.002742652,positive
c1ccc2c(Nc3ccncc3)nc(-c3ccc4c(c3)OCO4)nc2c1,0.0027312767,positive
c1cncc(CNc2ncnc3ccc(-c4cnoc4)cc23)c1,0.002721244,positive
O=C(CCC=NOCCC1C=CC(Oc2ccccc2)CO1)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.0027138737,positive
O=C(c1cc2c(n1CCCNc1ccccn1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0027136572,positive
O=C(c1cc2c(n1Cc1cccc3ccccc13)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0027038865,positive
c1ccc(-c2cncnc2NCCc2c[nH]c3ccccc23)cc1,0.0027002827,positive
c1ccc2c(CCNc3ncncc3-c3ccc4c(c3)OCO4)c[nH]c2c1,0.002698213,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1c[nH]c2ccccc12,0.0026979481,positive
c1ccc2c(CCNc3ccnc(-c4ccc5c(c4)OCO5)n3)c[nH]c2c1,0.0026886468,positive
O=C(c1cc2c(n1Cc1cc[nH]n1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0026862046,positive
O=C1OC(=NCCc2c[nH]c3ccccc23)C2(Cc3ccccc3)C3C(=CCc4c[nH]cc43)C=CN12,0.002645778,positive
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1c[nH]c2ccccc12,0.0026449221,positive
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccncc1,0.0026244249,positive
c1ccc2c(NCCc3c[nH]c4ccccc34)nc(-c3ccoc3)nc2c1,0.0026225955,positive
O=C(c1cc2c(n1CCc1ccccn1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0026104178,positive
c1ccc(CNc2ncnc3ccc(-c4cccnc4)cc23)cc1,0.0026038913,positive
c1ccc(CNc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)cc1,0.0026035996,positive
c1ccc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cc1,0.0026003732,positive
c1ccc(-c2ccc3ncnc(NCc4cccnc4)c3c2)cc1,0.002597338,positive
c1ccc2c(CCNc3ncncc3-c3ccoc3)c[nH]c2c1,0.0025850171,positive
c1ccc(-c2ccc3ncnc(-n4ccnc4)c3c2)cc1,0.00257988,positive
O=C(c1cc2c(n1Cc1c[nH]ccc1=O)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0025760948,positive
O=C(c1cc2c(n1CCN1CCOCC1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002564551,positive
O=C(NC1CCCCC1)NC1CSC(=S)N1Cc1ccc2c(c1)OCO2,0.00256431,positive
O=C(c1cc2c(n1Cc1ccccc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002563885,positive
O=C(c1cc2c(n1Cc1cccnc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002561391,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCCNc3ccccc3)C2C1Cc1ccccc1,0.0025546707,positive
c1csc(CNc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)c1,0.0025488432,positive
c1cncc(-c2cncnc2NCCc2c[nH]c3ccccc23)c1,0.0025474068,positive
O=C(c1ccncc1)N1CCCC2(CCN(c3cccc(-c4ccccc4)c3)C2)C1,0.0025448673,positive
c1ccc(-c2nc(NCCc3c[nH]c4ccccc34)c3ccccc3n2)cc1,0.002542322,positive
c1cn(-c2ccnc(-c3ccc4c(c3)OCO4)n2)cn1,0.0025322866,positive
O=C(CSc1nnc(-c2ccccc2)n1Cc1ccc2c(c1)OCO2)Nc1ccccc1,0.0025322703,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3c[nH]ccc3=O)C2C1Cc1ccccc1,0.0025277778,positive
c1ccc2c(NCCN3CCOCC3)nc(-c3ccc4c(c3)OCO4)nc2c1,0.0025197829,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccco3)C2C1Cc1ccccc1,0.0025185244,positive
O=C(CSc1nnc2ccc3ccccc3n12)NCc1ccc2c(c1)OCO2,0.0025133626,positive
O=C(c1cc2c(n1Cc1ccco1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.0025036088,positive
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCc3ccccn3)C2C1Cc1ccccc1,0.0024947575,positive
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1nc2ccccc2[nH]1,0.002491612,positive
c1ccc2c(NCCc3c[nH]c4ccccc34)nc(-c3cnoc3)nc2c1,0.0024895426,positive
c1ccc(CNc2ncncc2-c2cnoc2)cc1,0.0024864222,positive
c1ccc2c(CCNc3ncncc3-c3cnoc3)c[nH]c2c1,0.0024481975,positive
