scaffold,mean_shap,effect,n_total,n_active,n_inactive,active_ratio
O=C(c1cc2c(n1CCc1c[nH]c3ccccc13)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.003416396,positive,6,6,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCc3c[nH]c4ccccc34)C2C1Cc1ccccc1,0.003236103,positive,2,2,0,1
O=C(c1cc2c(n1CCc1ccccc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.003051176,positive,5,5,0,1
O=C(c1cc2c(n1Cc1nc3ccccc3[nH]1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.003025857,positive,2,2,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3CCc3ccccc3)C2C1Cc1ccccc1,0.002943025,positive,4,4,0,1
O=C(c1cc2c(n1Cc1ccsc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002941323,positive,2,2,0,1
O=C(c1cc2c(n1Cc1cccc3c1OCOC3)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002910239,positive,3,3,0,1
c1ccc2c(CCNc3ncnc4ccc(-c5ccc6c(c5)OCO6)cc34)c[nH]c2c1,0.002887663,positive,1,1,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3nc4ccccc4[nH]3)C2C1Cc1ccccc1,0.002882996,positive,3,3,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3cccc4ccccc34)C2C1Cc1ccccc1,0.002849643,positive,2,2,0,1
c1cncc(-c2nc(NCCc3c[nH]c4ccccc34)c3ccccc3n2)c1,0.002833848,positive,1,1,0,1
c1cncc(CNc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)c1,0.002823016,positive,1,1,0,1
c1cncc(-c2ccc3ncnc(NCCc4c[nH]c5ccccc45)c3c2)c1,0.002813301,positive,1,1,0,1
O=C1OC(=NCCc2c[nH]c3ccccc23)C2(Cc3ccccc3)C3C(=CCc4cn(-c5ccccc5)cc43)C=CN12,0.002745291,positive,1,1,0,1
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccsc3)C2C1Cc1ccccc1,0.002742652,positive,3,3,0,1
c1ccc2c(Nc3ccncc3)nc(-c3ccc4c(c3)OCO4)nc2c1,0.002731277,positive,1,1,0,1
c1cncc(CNc2ncnc3ccc(-c4cnoc4)cc23)c1,0.002721244,positive,1,1,0,1
O=C(CCC=NOCCC1C=CC(Oc2ccccc2)CO1)OCC1OC(C#Cc2ccccc2)C=CC1Oc1ccccc1,0.002713874,positive,1,1,0,1
O=C(c1cc2c(n1CCCNc1ccccn1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002713657,positive,1,1,0,1
O=C(c1cc2c(n1Cc1cccc3ccccc13)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002703887,positive,2,2,0,1
c1ccc(-c2cncnc2NCCc2c[nH]c3ccccc23)cc1,0.002700283,positive,10,10,0,1
c1ccc2c(CCNc3ncncc3-c3ccc4c(c3)OCO4)c[nH]c2c1,0.002698213,positive,1,1,0,1
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1c[nH]c2ccccc12,0.002697948,positive,2,2,0,1
c1ccc2c(CCNc3ccnc(-c4ccc5c(c4)OCO5)n3)c[nH]c2c1,0.002688647,positive,1,1,0,1
O=C(c1cc2c(n1Cc1cc[nH]n1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002686205,positive,2,2,0,1
O=C1OC(=NCCc2c[nH]c3ccccc23)C2(Cc3ccccc3)C3C(=CCc4c[nH]cc43)C=CN12,0.002645778,positive,4,4,0,1
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1c[nH]c2ccccc12,0.002644922,positive,1,1,0,1
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccncc1,0.002624425,positive,1,1,0,1
c1ccc2c(NCCc3c[nH]c4ccccc34)nc(-c3ccoc3)nc2c1,0.002622596,positive,1,1,0,1
O=C(c1cc2c(n1CCc1ccccn1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002610418,positive,3,3,0,1
c1ccc(CNc2ncnc3ccc(-c4cccnc4)cc23)cc1,0.002603891,positive,4,4,0,1
c1ccc(CNc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)cc1,0.0026036,positive,4,4,0,1
c1ccc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cc1,0.002600373,positive,4,4,0,1
c1ccc(-c2ccc3ncnc(NCc4cccnc4)c3c2)cc1,0.002597338,positive,8,8,0,1
c1ccc2c(CCNc3ncncc3-c3ccoc3)c[nH]c2c1,0.002585017,positive,1,1,0,1
c1ccc(-c2ccc3ncnc(-n4ccnc4)c3c2)cc1,0.00257988,positive,2,2,0,1
O=C(c1cc2c(n1Cc1c[nH]ccc1=O)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002576095,positive,3,3,0,1
O=C(c1cc2c(n1CCN1CCOCC1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002564551,positive,1,1,0,1
O=C(NC1CCCCC1)NC1CSC(=S)N1Cc1ccc2c(c1)OCO2,0.00256431,positive,1,1,0,1
O=C(c1cc2c(n1Cc1ccccc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,0.002563885,positive,14,14,0,1
